Sector,Main Sector,industry
Consumer Goods,,
FinTech,,
FinTech,,
FinTech,,
Healthcare,,
Media,,
Logistics,,
EdTech,,
FinTech,,
AgriTech,,
Drone,,
Banking,,
Deeptech,,
SportsTech,,
Health,,
Consumer Goods,,
Computer software,,
Wholesale,,
Consumer Goods,,
Apparel & Fashion,,
Logistics & Supply Chain,,
Logistics & Supply Chain,,
Construction,,
E-learning,,
Food & Beverages,,
Consumer Services,,
Venture Capital & Private Equity,,
Financial Services,,
"Health, Wellness & Fitness",,
OTT,,
Automotive,,
Education Management,,
Financial Services,,
Computer Software,,
AgriTech,,
Information Technology & Services,,
Insurance,,
Software Startup,,
Computer & Network Security,,
Automotive,,
Capital Markets,,
Social network,,
Automotive,,
Hospital & Health Care,,
Information Technology & Services,,
E-learning,,
Music,,
Information Technology & Services,,
Financial Services,,
Insurance,,
Consumer Goods,,
Hauz Khas,,
Capital Markets,,
Social network,,
Automotive,,
Hospital & Health Care,,
Information Technology & Services,,
E-learning,,
Music,,
Information Technology & Services,,
Financial Services,,
Insurance,,
Consumer Goods,,
Hauz Khas,,
Hospital & Health Care,,
"Health, Wellness & Fitness",,
Financial Services,,
E-learning,,
Retail,,
Cosmetics,,
FinTech,,
Information Technology & Services,,
Consumer Electronics,,
Mobility,,
Social media,,
Financial Services,,
Real Estate,,
E-learning,,
"Health, Wellness & Fitness",,
Digital platform,,
E-learning,,
Computer Software,,
Financial Services,,
B2B Ecommerce,,
Online Media,,
Computer Software,,
Information Technology & Services,,
Food & Beverages,,
Industrial Automation,,
E-commerce,,
Real Estate,,
E-commerce,,
"Health, Wellness & Fitness",,
B2B Ecommerce,,
Logistics & Supply Chain,,
Consumer Electronics,,
E-learning,,
Consumer Goods,,
Logistics & Supply Chain,,
Consumer Goods,,
Social commerce,,
Logistics & Supply Chain,,
Financial Services,,
Food & Beverages,,
Apparel & Fashion,,
Information Technology & Services,,
Apparel & Fashion,,
Food & Beverages,,
Mobile Games,,
Banking,,
Food Production,,
Dating,,
E-commerce,,
"Health, Wellness & Fitness",,
Insurance,,
Construction,,
Information Technology & Services,,
Financial Services,,
EdTech,,
Construction,,
HeathTech,,
EdTech,,
EdTech,,
FinTech,,
Content publishing,,
FinTech,,
AI startup,,
EdTech,,
FinTech,,
EdTech,,
EdTech,,
E-commerce,,
FinTech,,
HealthTech,,
Helathcare,,
Water purification,,
FinTech,,
EdTech,,
Real Estate,,
FinTech,,
E-commerce,,
HealthTech,,
Innovation Management,,
Software company,,
Automation,,
EdTech,,
Food Industry,,
FinTech,,
FinTech,,
Celebrity Engagement,,
Trading platform,,
FinTech,,
E-commerce,,
FinTech,,
Hospitality,,
Gaming,,
Personal Care,,
EdTech,,
HealthTech,,
Transportation,,
HealthTech,,
E-commerce,,
Healthcare,,
FinTech,,
HealthTech,,
FinTech,,
Cannabis startup,,
Gaming,,
Blogging,,
Healthcare,,
AgriTech,,
BioTechnology,,
HealthTech,,
FinTech,,
B2B Marketplace,,
EdTech,,
FinTech,,
Tech Startup,,
EdTech,,
B2B service,,
Hospitality,,
Tech Startup,,
Social audio,,
Gaming,,
FinTech,,
Fashion and lifestyle,,
Delivery service,,
EdTech,,
EdTech,,
B2B Manufacturing,,
FinTech,,
Gaming,,
Home Decor,,
Solar,,
TaaS startup,,
FinTech,,
Health care,,
EdTech,,
EV startup,,
HR Tech,,
AgriTech,,
AgriTech,,
Blockchain startup,,
Food and Beverages,,
FinTech,,
Beverages,,
EdTech,,
Manufacturing startup,,
FinTech,,
Cryptocurrency,,
E-commerce,,
E-commerce,,
Vehicle repair startup,,
IT,,
E-commerce,,
EdTech,,
AgriTech,,
Media,,
EdTech,,
Healthcare,,
Food and Beverages,,
FinTech,,
Gaming,,
Insuretech,,
Legaltech,,
EdTech,,
FinTech,,
Pollution control equiptment,,
FinTech,,
Fashion & Lifestyle,,
Media,,
EdTech,,
Healthcare,,
FinTech,,
AgriTech,,
Cosmetics,,
Hospitality,,
FinTech,,
EdTech,,
EdTech,,
BioTechnology,,
E-commerce,,
Healthcare,,
EdTech,,
Logistics,,
Food & Beverages,,
Cosmetics,,
Blockchain,,
Automotive,,
Financial Services,,
EdTech,,
Consulting,,
Real Estate,,
E-commerce,,
SaaS startup,,
Media,,
Fitness,,
Healthcare,,
D2C,,
IT,,
Gaming,,
EdTech,,
Mobility,,
Media,,
FinTech,,
IT,,
IT,,
Food & Beverages,,
Fitness,,
Automobile,,
Environmental Services,,
Consumer Services,,
Healthcare,,
D2C,,
Merchandise,,
Facilities Services,,
EdTech,,
Healthcare,,
Logistics & Supply Chain,,
Marketing & Advertising,,
Healthcare,,
Healthcare,,
Logistics,,
Food & Beverages,,
Eyewear,,
Healthcare,,
EdTech,,
Consumer Services,,
FinTech,,
D2C Business,,
Automotive,,
Biotechnology,,
Human Resources,,
Healthcare,,
Farming,,
Automotive,,
Healthcare,,
FinTech,,
Healthcare,,
FinTech,,
Solar,,
Biotechnology,,
Consumer Goods,,
Internet,,
Information Technology,,
Internet,,
SpaceTech,,
AgriTech,,
Real Estate,,
Hospitality,,
Automotive,,
Consumer software,,
EdTech,,
Social commerce,,
EdTech,,
Healthcare,,
Social community,,
Information Technology,,
Fishery,,
EdTech,,
Apparel & Fashion,,
Computer software,,
Online storytelling,,
Automotive,,
Deeptech,,
Farming,,
Consumer Goods,,
Automotive,,
Insuretech,,
Food & Beverages,,
Food & Beverages,,
Gaming,,
Consumer Goods,,
Aviation,,
FinTech,,
Internet,,
Information Technology,,
Healthcare,,
Information Technology,,
Healthcare,,
Cosmetics,,
Computer software,,
Food & Beverages,,
EdTech,,
Consumer Goods,,
Logistics,,
Retail,,
EdTech,,
Transportation,,
Hospitality,,
Construction,,
Logistics,,
EdTech,,
Job discovery platform,,
HealthCare,,
HealthCare,,
Home services,,
Rental,,
Logistics,,
EdTech,,
EdTech,,
FinTech,,
EdTech,,
Logistics,,
HealthCare,,
AgriTech,,
Mobility,,
EdTech,,
E-commerce,,
Heathcare,,
E-commerce,,
Heathcare,,
Food & Beverages,,
FinTech,,
IT startup,,
Logistics,,
FinTech,,
Renewable Energy,,
Consulting,,
EdTech,,
Logistics,,
CRM,,
EV startup,,
HealthCare,,
FinTech,,
Software,,
Logistics,,
E-commerce,,
EdTech,,
Nutrition,,
SaaS startup,,
FinTech,,
FinTech,,
FinTech,,
Human Resources,,
Fashion,,
SaaS startup,,
Insuretech,,
SaaS startup,,
Innovation management,,
EdTech,,
Insuretech,,
Community platform,,
AgriTech,,
FinTech,,
EdTech,,
Insuretech,,
FinTech,,
E-commerce,,
EdTech,,
Venture capitalist,,
Tech Startup,,
Networking,,
Recruitment,,
EV startup,,
FinTech,,
HealthCare,,
AR startup,,
Automotive,,
Automotive,,
HealthCare,,
EdTech,,
E-commerce,,
Logistics,,
Gaming,,
HealthCare,,
EdTech,,
FinTech,,
IT startup,,
Fashion,,
Automation,,
Automotive,,
Solar,,
HealthCare,,
IT startup,,
EdTech,,
IT startup,,
Hospitality,,
Automotive,,
HealthCare,,
Pet care,,
EdTech,,
HealthCare,,
FinTech,,
Food & Beverages,,
Media,,
MarTech,,
Tech Startup,,
Advertisement,,
Gaming,,
AgriTech,,
FinTech,,
FinTech,,
E-commerce,,
Heathcare,,
AgriTech,,
Lifestyle,,
FinTech,,
FinTech,,
EdTech,,
FinTech,,
HealthCare,,
EdTech,,
D2C Fashion,,
FinTech,,
BioTechnology,,
Bike Rental,,
AI startup,,
BioTechnology,,
FinTech,,
FinTech,,
FinTech,,
Beauty products,,
Tech Startup,,
Health care,,
Tech Startup,,
Heathcare,,
Tourism,,
Gaming,,
Automotive,,
SpaceTech,,
Solar,,
Beauty products,,
Gaming,,
Insurance,,
Rental space,,
HealthCare,,
FinTech,,
Consulting,,
FinTech,,
FinTech,,
FemTech,,
Cultural,,
FinTech,,
FinTech,,
FinTech,,
FinTech,,
Hospitality,,
HealthCare,,
HealthTech,,
EdTech,,
Co-working,,
FinTech,,
InsureTech,,
Gaming,,
EdTech,,
E-commerce,,
InsureTech,,
Supply chain platform,,
FinTech,,
Social platform,,
Gaming,,
E-commerce,,
Drone,,
E-commerce,,
EdTech,,
E-commerce,,
Automotive,,
FinTech,,
Blockchain startup,,
EdTech,,
Recruitment,,
Drone,,
CleanTech,,
FinTech,,
Fashion,,
EdTech,,
FinTech,,
Fashion,,
Real estate,,
Consulting,,
Sports startup,,
Renewable Energy,,
FinTech,,
AI company,,
SpaceTech,,
SaaS startup,,
EdTech,,
FinTech,,
Matrimony,,
Social Media,,
EdTech,,
Human Resources,,
BioTechnology,,
AgriTech,,
FinTech,,
Mobility,,
Electronics,,
Sports startup,,
FinTech,,
HealthCare,,
HealthCare,,
EdTech,,
SaaS startup,,
Clothing,,
Consulting,,
HealthCare,,
FinTech,,
FinTech,,
Tech Startup,,
IT startup,,
Analytics,,
FinTech,,
Finance,,
AI startup,,
AI startup,,
AI startup,,
Retail,,
EdTech,,
HealthCare,,
Software,,
Transportation,,
EdTech,,
E-commerce,,
FinTech,,
FinTech,,
IoT platform,,
FinTech,,
E-commerce,,
Financial Services,,
Commerce,,
Hospitality,,
Financial Services,,
Retail,,
Food & Beverages,,
HR Tech,,
Financial Services,,
Mobility,,
Logistics & Supply Chain,,
Consumer Goods,,
"Health, Wellness & Fitness",,
Renewables & Environment,,
Information Technology & Services,,
"Health, Wellness & Fitness",,
SaaS startup,,
Entertainment,,
Retail,,
E-commerce,,
Business Supplies & Equipment,,
FinTech,,
NFT,,
Furniture,,
Oil & Energy,,
EV,,
Financial Services,,
E-learning,,
Online Media,,
Information Technology & Services,,
Food & Beverages,,
Company-as-a-Service,,
Eyewear,,
Textiles,,
Information Technology & Services,,
Information Technology & Services,,
Hospital & Health Care,,
Computer Software,,
D2C,,
Professional Training & Coaching,,
Maritime,,
Consumer Goods,,
Information Technology & Services,,
Financial Services,,
Financial Services,,
Furniture,,
Venture Capital & Private Equity,,
Financial Services,,
E-learning,,
E-learning,,
Financial Services,,
"Health, Wellness & Fitness",,
Housing Marketplace,,
Education Management,,
Real Estate,,
Industrial Automation,,
Financial Services,,
Financial Services,,
Consumer Goods,,
Financial Services,,
Real Estate,,
Tech startup,,
Automotive,,
Sports,,
Automotive,,
Furniture Rental,,
Financial Services,,
E-learning,,
E-learning,,
Hospital & Health Care,,
Financial Services,,
Cosmetics,,
Consumer Goods,,
FinTech,,
Recruitment,,
Textiles,,
E-commerce,,
Information Technology & Services,,
Insurance,,
EdTech,,
Information Technology & Services,,
Food & Beverages,,
Mobility,,
Information Technology & Services,,
EdTech,,
Telecommunications,,
Crypto,,
Insurance,,
Automotive,,
Information Technology & Services,,
"Health, Wellness & Fitness",,
Equity Management,,
Cloud kitchen,,
Marketing & Advertising,,
Nanotechnology,,
Entertainment,,
Computer Software,,
Automotive,,
Community,,
Retail,,
Higher Education,,
Financial Services,,
Financial Services,,
"Health, Wellness & Fitness",,
Media,,
NFT,,
B2B,,
Mechanical Or Industrial Engineering,,
Software Startup,,
Financial Services,,
Financial Services,,
Financial Services,,
E-learning,,
Automotive,,
D2C jewellery,,
Sales and Distribution,,
SaaS,,
E-learning,,
Food & Beverages,,
Information Technology & Services,,
Information Services,,
Apparel & Fashion,,
Crypto,,
Information Technology & Services,,
"Health, Wellness & Fitness",,
Furniture,,
Financial Services,,
Computer Software,,
Biotechnology,,
SaaS,,
Translation & Localization,,
Finance,,
Education Management,,
Entertainment,,
Financial Services,,
Financial Services,,
Marketing & Advertising,,
Automotive,,
Entertainment,,
Financial Services,,
Food & Beverages,,
Investment Banking,,
Farming,,
EdTech,,
Information Technology & Services,,
Retail,,
Hospitality,,
Information Technology & Services,,
Mechanical Or Industrial Engineering,,
E-learning,,
Social commerce,,
Food & Beverages,,
Computer Software,,
Finance,,
Consumer Goods,,
Financial Services,,
E-learning,,
Logistics & Supply Chain,,
Information Technology & Services,,
Marketing,,
Financial Services,,
Financial Services,,
Financial Services,,
AgriTech,,
Femtech,,
Computer Software,,
Human Resources,,
Information Technology & Services,,
Financial Services,,
Computer Software,,
sports,,
Tech startup,,
Foootwear,,
Computer Software,,
Consumer Goods,,
Insurance,,
Retail,,
Food & Beverages,,
Legal Services,,
Hospital & Health Care,,
Veterinary,,
Financial Services,,
Consumer Goods,,
E-commerce,,
Hospital & Health Care,,
E-learning,,
Hospital & Health Care,,
FinTech,,
E-learning,,
Telecommunications,,
sports,,
Social commerce,,
Computer Software,,
Information Technology & Services,,
Blockchain,,
Financial Services,,
Automotive,,
Construction,,
FinTech,,
Information Technology & Services,,
Financial Services,,
Financial Services,,
FinTech,,
Food & Beverages,,
Financial Services,,
"Health, Wellness & Fitness",,
Healthtech,,
Logistics & Supply Chain,,
Financial Services,,
Investment Management,,
Education,,
"Health, Wellness & Fitness",,
Management Consulting,,
Hospital & Health Care,,
B2B startup,,
Financial Services,,
Information Technology & Services,,
Hospital & Health Care,,
FinTech,,
Financial Services,,
Retail,,
Logistics & Supply Chain,,
Professional Training & Coaching,,
Hospitality,,
E-learning,,
Computer Software,,
Automotive,,
Financial Services,,
Online Media,,
Information Technology & Services,,
Mobility,,
Design,,
Computer Software,,
E-learning,,
Food & Beverages,,
Consumer Services,,
Biotechnology,,
Financial Services,,
E-learning,,
FinTech,,
Healtcare,,
Automotive,,
Computer Software,,
B2B Travel,,
Food & Beverages,,
Information Technology & Services,,
Information Technology & Services,,
Hospital & Health Care,,
Financial Services,,
EdTech,,
Computer Software,,
Retail,,
Healthtech,,
E-learning,,
FinTech,,
Information Technology & Services,,
Consumer Services,,
Information Technology & Services,,
sports,,
EdTech,,
Music,,
Gaming,,
"Health, Wellness & Fitness",,
Recruitment,,
AgriTech,,
Apparel & Fashion,,
Wine & Spirits,,
SaaS startup,,
Information Technology & Services,,
Financial Services,,
Financial Services,,
Biotechnology,,
Computer Games,,
AgriTech,,
Food Production,,
Consumer Services,,
"Health, Wellness & Fitness",,
Interior Design,,
E-learning,,
FinTech,,
Industrial Automation,,
Financial Services,,
EdTech,,
AI startup,,
Information Technology & Services,,
Automotive,,
Investment Management,,
Product studio,,
EdTech,,
E-commerce,,
Health,,
Retail,,
EdTech,,
Food & Beverages,,
SaaS startup,,
Deeptech,,
Information Technology & Services,,
Blockchain,,
Biotechnology,,
"Health, Wellness & Fitness",,
B2B,,
FinTech,,
Logistics & Supply Chain,,
Design,,
Internet,,
Information Technology & Services,,
Food Production,,
AgriTech,,
Aviation & Aerospace,,
Deeptech,,
Logistics & Supply Chain,,
Staffing & Recruiting,,
Food & Beverages,,
Financial Services,,
EdTech,,
Financial Services,,
