Sector,Main Sector,industry
Food,,
Healthtech,,
,,
Logistics,,
Healthtech,,
Media,,
Housing,,
Edtech,,
Edtech,,
Pharmaceutical,,
Edtech,,
Tech,,
Ecommerce,,
Yoga & wellness,,
AI,,
Digital Media,,
,,
Fintech,,
Data Analytics,,
Fitness,,
Investment Tech,,
Beverage,,
Fintech,,
Ecommerce,,
Edtech,,
Logistics,,
Edtech,,
IT,,
Financial Services,,
IoT,,
Automobile,,
Agritech,,
Biopharma,,
,,
Fintech,,
Dairy,,
Beauty & wellness,,
Edtech,,
Media,,
Real Estate,,
Foodtech,,
Fintech,,
Travel & SaaS,,
Digital Media,,
SaaS,,
Healthcare,,
Tourism & EV,,
AI,,
Media Tech,,
Gaming,,
Fintech,,
Healthtech,,
Health,,
Location Analytics,,
Logistics,,
Food tech,,
Fintech,,
Logistics,,
Tech,,
Fintech,,
E store,,
Fintech,,
Edtech,,
Food,,
Tech,,
Gaming,,
Agritech,,
Edtech,,
Fintech,,
Foodtech,,
Healthtech,,
Foodtech,,
Logistics,,
Fintech,,
Data Science,,
Fintech,,
SaaS,,
Ecommerce,,
Fintech,,
,,
Edtech,,
Healthtech,,
Agritech,,
Ecommerce,,
Insurance,,
Healthcare,,
Edtech,,
Health and Fitness,,
SaaS,,
IoT,,
Automobile,,
Fitness,,
Marketplace,,
Fintech,,
Food,,
Healthtech,,
Fintech,,
Media,,
Technology,,
Interior & decor,,
Ecommerce,,
Healthtech,,
Automobile,,
Edtech,,
SaaS,,
Technology,,
Fintech,,
Spacetech,,
Fintech,,
Fintech,,
Fintech,,
Cleantech,,
Social e-commerce,,
FMCG,,
B2B,,
Tech,,
Edtech,,
eMobility,,
Real Estate,,
Fintech,,
Automation tech,,
Fintech,,
Media & Networking,,
Foodtech,,
FMCG,,
Ecommerce,,
Edtech,,
Ecommerce,,
E-market,,
Food & Beverages,,
Proptech,,
AI & Data science,,
Agritech,,
Fintech,,
Beverages,,
Healthtech,,
Travel tech,,
Social e-commerce,,
Real Estate,,
Automotive and Rentals,,
Ecommerce,,
Fintech,,
Fintech,,
Edtech,,
E-tail,,
Accomodation,,
Fintech,,
Automotive,,
AI & Media,,
Healthtech,,
Machine Learning,,
Media,,
Fintech,,
Travel,,
Deeptech,,
Content Marktplace,,
Fintech,,
IT,,
Fintech,,
Visual Media,,
Edtech,,
Ecommerce,,
Automobile,,
Fintech,,
Hygiene,,
Foodtech,,
Foodtech,,
SaaS,,
Edtech,,
Proptech,,
Logistics,,
Insurtech,,
Transport,,
VR & SaaS,,
Ecommerce,,
Cleantech,,
Sales & Services,,
Edtech,,
Edtech,,
